#i RadiusInner SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic RadiusOuter MassProfHalo MassProfStar MassProfCold MassProfHot DensityProfHot TemperatureProfHot CoolingRate CoolingTime SDensitySFR SDensityOFR MassProfDM MassProfDMContracted MassMetalCold MassMetalStar SDensityMetalCold SDensityMetalStar MetallicityCold MetallicityStar MassBin
45 0.214469 126.178 0 0 126.178 0.224576 7.94371e+06 0 2.46595e+07 1205.91 18174 23679.6 10581.5 0.0105128 0 0 0 0 0 0 0 0 0 0 10
46 0.224576 122.487 0 0 122.487 0.23516 8.68106e+06 0 2.65317e+07 1328.11 17388.6 24187.2 10458.2 0.0116849 0 0 0 0 0 0 0 0 0 0 10
47 0.23516 118.782 0 0 118.782 0.246243 9.48544e+06 0 2.85224e+07 1462.32 16632.2 24700.7 10336.1 0.0129841 0 0 0 0 0 0 0 0 0 0 10
48 0.246243 115.066 0 0 115.066 0.257848 1.03627e+07 0 3.06369e+07 1609.66 15903.9 25219.9 10223.3 0.0144121 0 0 0 0 0 0 0 0 0 0 10
49 0.257848 111.345 0 0 111.345 0.27 1.13194e+07 0 3.28804e+07 1771.36 15202.7 25744.7 10145.1 0.0159397 0 0 0 0 0 0 0 0 0 0 10
50 0.27 107.624 0 0 107.624 0.282725 1.23622e+07 0 3.52582e+07 1948.79 14527.7 26274.8 10066.7 0.0176248 0 0 0 0 0 0 0 0 0 0 10
51 0.282725 103.908 0 0 103.908 0.296049 1.34987e+07 0 3.77753e+07 2143.39 13878.2 26810 9988.34 0.0194829 0 0 0 0 0 0 0 0 0 0 10
52 0.296049 100.201 0 0 100.201 0.310001 1.4737e+07 0 4.04368e+07 2356.76 13253.2 27349.9 9909.91 0.0215311 0 0 0 0 0 0 0 0 0 0 10
53 0.310001 96.5081 0 0 96.5081 0.324611 1.60859e+07 0 4.32475e+07 2590.63 12652 27894.3 9831.47 0.0237879 0 0 0 0 0 0 0 0 0 0 10
54 0.324611 92.8354 0 0 92.8354 0.33991 1.75547e+07 0 4.62121e+07 2846.88 12073.9 28442.8 9748.89 0.0262849 0 0 0 0 0 0 0 0 0 0 10
55 0.33991 89.1877 0 0 89.1877 0.355929 1.91537e+07 0 4.9335e+07 3127.55 11518 28995.1 9662.03 0.0290484 0 0 0 0 0 0 0 0 0 0 10
56 0.355929 85.5701 0 0 85.5701 0.372704 2.08938e+07 0 5.26202e+07 3434.85 10983.6 29551 9575.32 0.0320928 0 0 0 0 0 0 0 0 0 0 10
57 0.372704 81.9879 0 0 81.9879 0.390269 2.2787e+07 0 5.60716e+07 3771.18 10470.1 30109.9 9488.81 0.035445 0 0 0 0 0 0 0 0 0 0 10
58 0.390269 78.446 0 0 78.446 0.408662 2.4846e+07 0 5.96925e+07 4139.14 9976.74 30671.4 9402.46 0.0391348 0 0 0 0 0 0 0 0 0 0 10
59 0.408662 74.9497 0 0 74.9497 0.427921 2.70844e+07 0 6.34858e+07 4541.55 9502.87 31235.2 9316.24 0.0431946 0 0 0 0 0 0 0 0 0 0 10
60 0.427921 71.5038 0 0 71.5038 0.448088 2.95171e+07 0 6.74537e+07 4981.46 9047.86 31800.9 9228.39 0.0476689 0 0 0 0 0 0 0 0 0 0 10
