#i RadiusInner SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic RadiusOuter MassProfHalo MassProfStar MassProfCold MassProfHot DensityProfHot TemperatureProfHot CoolingRate CoolingTime SDensitySFR SDensityOFR SDensityCAR MassProfDM MassProfDMContracted MassMetalCold MassMetalStar SDensityMetalCold SDensityMetalStar MetallicityCold MetallicityStar MassBin RadiusIso
73 0.778689 36.4118 0 0 36.4118 0.815387 8.78461e+07 0 2.01555e+08 16033.1 4588.14 39071.1 8373.06 0.160534 0 0 1.5282e+10 0 0 0 0 0 0 0 0 10 25.6971
74 0.815387 33.0055 0 0 33.0055 0.853815 9.52931e+07 0 2.08203e+08 17492.7 4339.39 39602 8326.29 0.175305 0 0 1.46266e+10 0 0 0 0 0 0 0 0 10 26.9082
75 0.853815 29.8298 0 0 29.8298 0.894054 1.03328e+08 0 2.14791e+08 19076.8 4101.86 40125.3 8356.49 0.189571 0 0 1.39703e+10 0 0 0 0 0 0 0 0 10 28.1764
76 0.894054 26.8778 0 0 26.8778 0.936189 1.11991e+08 0 2.213e+08 20795.2 3875.15 40640.3 8434.16 0.203733 0 0 1.33146e+10 0 0 0 0 0 0 0 0 10 29.5043
77 0.936189 24.1424 0 0 24.1424 0.980311 1.21326e+08 0 2.2771e+08 22658 3658.87 41146.1 8506.65 0.21898 0 0 1.2661e+10 0 0 0 0 0 0 0 0 10 30.8948
78 0.980311 21.6154 0 0 21.6154 1.02651 1.31378e+08 0 2.34002e+08 24676.2 3452.64 41642 8573.75 0.235394 0 0 1.2011e+10 0 0 0 0 0 0 0 0 10 32.3508
79 1.02651 19.2886 0 0 19.2886 1.07489 1.42195e+08 0 2.40159e+08 26861.5 3256.1 42127.2 8635.15 0.253072 0 0 1.13661e+10 0 0 0 0 0 0 0 0 10 33.8754
80 1.07489 17.1533 0 0 17.1533 1.12555 1.53827e+08 0 2.46162e+08 29226.3 3068.9 42600.9 8690.67 0.27211 0 0 1.07278e+10 0 0 0 0 0 0 0 0 10 35.4719
81 1.12555 15.2004 0 0 15.2004 1.17859 1.66327e+08 0 2.51995e+08 31783.8 2890.68 43062.3 8740.08 0.292617 0 0 1.00979e+10 0 0 0 0 0 0 0 0 10 37.1437
82 1.17859 13.4207 0 0 13.4207 1.23414 1.79749e+08 0 2.57642e+08 34547.9 2721.11 43510.6 8783.15 0.314711 0 0 9.47787e+09 0 0 0 0 0 0 0 0 10 38.8942
83 1.23414 11.8046 0 0 11.8046 1.2923 1.94151e+08 0 2.63087e+08 37533.6 2559.87 43944.9 8819.71 0.338515 0 0 8.86939e+09 0 0 0 0 0 0 0 0 10 40.7272
84 1.2923 10.3427 0 0 10.3427 1.35321 2.09592e+08 0 2.68318e+08 40756.3 2406.63 44364.6 8849.53 0.36417 0 0 8.27406e+09 0 0 0 0 0 0 0 0 10 42.6466
85 1.35321 9.02535 0 0 9.02535 1.41698 2.26134e+08 0 2.73323e+08 44232.7 2261.08 44768.8 8908.42 0.39024 0 0 7.69346e+09 0 0 0 0 0 0 0 0 10 44.6565
86 1.41698 7.84297 0 0 7.84297 1.48376 2.43841e+08 0 2.78092e+08 47980.3 2122.94 45156.7 9064.04 0.413457 0 0 7.12911e+09 0 0 0 0 0 0 0 0 10 46.7611
87 1.48376 6.78613 0 0 6.78613 1.55369 2.6278e+08 0 2.82616e+08 52017.5 1991.89 45527.6 9207.54 0.438468 0 0 6.58248e+09 0 0 0 0 0 0 0 0 10 48.9649
88 1.55369 5.84551 0 0 5.84551 1.62691 2.83019e+08 0 2.86888e+08 56363.8 1867.67 45880.8 9337.99 0.465438 0 0 6.05496e+09 0 0 0 0 0 0 0 0 10 51.2725
89 1.62691 5.01202 0 0 5.01202 1.70358 3.0463e+08 0 2.90904e+08 61039.5 1749.99 46215.5 9454.67 0.494544 0 0 5.54783e+09 0 0 0 0 0 0 0 0 10 53.6889
90 1.70358 4.27683 0 0 4.27683 1.78387 3.27683e+08 0 2.94662e+08 66066.2 1638.58 46531.1 9556.8 0.525983 0 0 5.06227e+09 0 0 0 0 0 0 0 0 10 56.2192
91 1.78387 3.63139 0 0 3.63139 1.86794 3.52254e+08 0 2.9816e+08 71466.5 1533.19 46826.9 9643.69 0.559975 0 0 4.5993e+09 0 0 0 0 0 0 0 0 10 58.8688
92 1.86794 3.06753 0 0 3.06753 1.95598 3.7842e+08 0 3.014e+08 77263.8 1433.56 47102.2 9714.73 0.596761 0 0 4.15983e+09 0 0 0 0 0 0 0 0 10 61.6432
93 1.95598 2.57741 0 0 2.57741 2.04816 4.06257e+08 0 3.04384e+08 83483.1 1339.44 47356.5 9769.47 0.636602 0 0 3.74459e+09 0 0 0 0 0 0 0 0 10 64.5483
94 2.04816 2.15363 0 0 2.15363 2.14469 4.35844e+08 0 3.07118e+08 90150.1 1250.6 47589.3 9807.42 0.679795 0 0 3.35413e+09 0 0 0 0 0 0 0 0 10 67.5904
95 2.14469 1.78921 0 0 1.78921 2.24576 4.67262e+08 0 3.09608e+08 97292 1166.8 47799.9 9828.27 0.726663 0 0 2.98883e+09 0 0 0 0 0 0 0 0 10 70.7758
96 2.24576 1.47759 0 0 1.47759 2.3516 5.00591e+08 0 3.11863e+08 104937 1087.81 47988 9831.75 0.777566 0 0 2.64889e+09 0 0 0 0 0 0 0 0 10 74.1114
97 2.3516 1.2127 0 0 1.2127 2.46243 5.35913e+08 0 3.13892e+08 113114 1013.42 48153.1 9817.77 0.832899 0 0 2.33428e+09 0 0 0 0 0 0 0 0 10 77.6041
98 2.46243 0.988892 0 0 0.988892 2.57848 5.73311e+08 0 3.15706e+08 121854 943.418 48294.8 9786.32 0.8931 0 0 2.04483e+09 0 0 0 0 0 0 0 0 10 81.2615
99 2.57848 0.800998 0 0 0.800998 2.7 6.12865e+08 0 3.17316e+08 131189 877.595 48412.8 9737.44 0.95866 0 0 1.78012e+09 0 0 0 0 0 0 0 0 10 85.0912
