#z i RadiusInner SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic RadiusOuter SDensitySFR  SDensityOFR SDensityCAR MetallicityCold MetallicityStar MassProfStar MassStar MassBin RadiusIso
3 97 2.3516 4.69206e-06 0 0 4.69206e-06 2.46243 0 0 214329 0 0 0 0 10 77.6041
3 98 2.46243 2.18589e-06 0 0 2.18589e-06 2.57848 0 0 103803 0 0 0 0 10 81.2615
3 99 2.57848 9.84102e-07 0 0 9.84102e-07 2.7 0 0 48584.9 0 0 0 0 10 85.0912
3 100 2.7 4.27471e-07 0 0 4.27471e-07 2.82725 0 0 21940.8 0 0 0 0 10 89.1015
3 101 2.82725 1.78855e-07 0 0 1.78855e-07 2.96049 0 0 9544.06 0 0 0 0 10 93.3007
3 102 2.96049 7.19546e-08 0 0 7.19546e-08 3.10001 0 0 3991.86 0 0 0 0 10 97.6978
3 103 3.10001 2.77833e-08 0 0 2.77833e-08 3.24611 0 0 1602.42 0 0 0 0 10 102.302
3 104 3.24611 1.02764e-08 0 0 1.02764e-08 3.3991 0 0 616.165 0 0 0 0 10 107.124
3 105 3.3991 3.63375e-09 0 0 3.63375e-09 3.55929 0 0 226.493 0 0 0 0 10 112.172
3 106 3.55929 1.22577e-09 0 0 1.22577e-09 3.72704 0 0 79.4197 0 0 0 0 10 117.459
3 107 3.72704 3.93586e-10 0 0 3.93586e-10 3.90269 0 0 26.5065 0 0 0 0 10 122.994
3 108 3.90269 1.20018e-10 0 0 1.20018e-10 4.08662 0 0 8.40072 0 0 0 0 10 128.791
3 109 4.08662 3.46714e-11 0 0 3.46714e-11 4.27921 0 0 2.5221 0 0 0 0 10 134.861
3 110 4.27921 9.46488e-12 0 0 9.46488e-12 4.48088 0 0 0.71545 0 0 0 0 10 141.216
3 111 4.48088 2.43512e-12 0 0 2.43512e-12 4.69206 0 0 0.191254 0 0 0 0 10 147.872
3 112 4.69206 5.88813e-13 0 0 5.88813e-13 4.91319 0 0 0.0480437 0 0 0 0 10 154.841
3 113 4.91319 1.33419e-13 0 0 1.33419e-13 5.14474 0 0 0.011308 0 0 0 0 10 162.138
3 114 5.14474 2.82434e-14 0 0 2.82434e-14 5.38721 0 0 0.00248616 0 0 0 0 10 169.779
3 115 5.38721 5.56779e-15 0 0 5.56779e-15 5.6411 0 0 0.000508941 0 0 0 0 10 177.781
3 116 5.6411 1.01873e-15 0 0 1.01873e-15 5.90696 0 0 9.6681e-05 0 0 0 0 10 186.159
3 117 5.90696 1.72394e-16 0 0 1.72394e-16 6.18534 0 0 1.69832e-05 0 0 0 0 10 194.933
3 118 6.18534 2.68828e-17 0 0 2.68828e-17 6.47685 0 0 2.74853e-06 0 0 0 0 10 204.12
3 119 6.47685 3.84808e-18 0 0 3.84808e-18 6.78209 0 0 4.08232e-07 0 0 0 0 10 213.74
3 120 6.78209 5.03593e-19 0 0 5.03593e-19 7.10172 0 0 5.54219e-08 0 0 0 0 10 223.813
3 121 7.10172 5.99994e-20 0 0 5.99994e-20 7.43642 0 0 6.84834e-09 0 0 0 0 10 234.361
3 122 7.43642 6.47924e-21 0 0 6.47924e-21 7.78689 0 0 7.66816e-10 0 0 0 0 10 245.406
3 123 7.78689 6.31249e-22 0 0 6.31249e-22 8.15387 0 0 7.74432e-11 0 0 0 0 10 256.971
3 124 8.15387 5.52165e-23 0 0 5.52165e-23 8.53815 0 0 7.0202e-12 0 0 0 0 10 269.082
3 125 8.53815 4.31442e-24 0 0 4.31442e-24 8.94054 0 0 5.683e-13 0 0 0 0 10 281.764
3 126 8.94054 2.99537e-25 0 0 2.99537e-25 9.36189 0 0 4.0865e-14 0 0 0 0 10 295.043
3 127 9.36189 1.83753e-26 0 0 1.83753e-26 9.80311 0 0 2.59566e-15 0 0 0 0 10 308.948
3 128 9.80311 9.90235e-28 0 0 9.90235e-28 10.2651 0 0 1.44786e-16 0 0 0 0 10 323.508
3 129 10.2651 4.65918e-29 0 0 4.65918e-29 10.7489 0 0 7.04899e-18 0 0 0 0 10 338.754
3 130 10.7489 1.90181e-30 0 0 1.90181e-30 11.2555 0 0 2.97624e-19 0 0 0 0 10 354.719
3 131 11.2555 6.68964e-32 0 0 6.68964e-32 11.7859 0 0 1.08251e-20 0 0 0 0 10 371.437
3 132 11.7859 2.01357e-33 0 0 2.01357e-33 12.3414 0 0 3.36796e-22 0 0 0 0 10 388.942
3 133 12.3414 5.14833e-35 0 0 5.14833e-35 12.923 0 0 8.89767e-24 0 0 0 0 10 407.272
3 134 12.923 1.10959e-36 0 0 1.10959e-36 13.5321 0 0 1.98067e-25 0 0 0 0 10 426.466
3 135 13.5321 1.99963e-38 0 0 1.99963e-38 14.1698 0 0 3.68528e-27 0 0 0 0 10 446.565
3 136 14.1698 2.98789e-40 0 0 2.98789e-40 14.8376 0 0 5.68303e-29 0 0 0 0 10 467.611
3 137 14.8376 3.66918e-42 0 0 3.66918e-42 15.5369 0 0 7.19943e-31 0 0 0 0 10 489.649
3 138 15.5369 3.66895e-44 0 0 3.66895e-44 16.2691 0 0 7.42334e-33 0 0 0 0 10 512.725
3 139 16.2691 2.95852e-46 0 0 2.95852e-46 17.0358 0 0 6.1698e-35 0 0 0 0 10 536.889
3 140 17.0358 1.90439e-48 0 0 1.90439e-48 17.8387 0 0 4.09166e-37 0 0 0 0 10 562.192
3 141 17.8387 9.68219e-51 0 0 9.68219e-51 18.6794 0 0 2.14222e-39 0 0 0 0 10 588.688
3 142 18.6794 3.84495e-53 0 0 3.84495e-53 19.5598 0 0 8.75644e-42 0 0 0 0 10 616.432
3 143 19.5598 1.17881e-55 0 0 1.17881e-55 20.4816 0 0 2.76199e-44 0 0 0 0 10 645.483
