#z i RadiusInner RadiusOuter RadiusIso SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic SDensitySFR  SDensityOFR SDensityCAR StellarAge MetallicityCold MetallicityStar MassProfStar MassStar MassHalo
3 46 0.262013 0.274362 0.2611 406.533 210.99 397.893 8.64023 2.55894e+14 1.75347e+13 1.89318e+13 -0.131618 0.00235019 0.00123522 6.1486e+07 6.87816e+08 1.53804e+11
3 47 0.274362 0.287292 0.273405 402.571 204.942 393.926 8.6452 2.52517e+14 1.73032e+13 1.86942e+13 -0.138476 0.00234837 0.0012391 6.61618e+07 6.87816e+08 1.53804e+11
3 48 0.287292 0.300832 0.28629 398.463 198.898 389.813 8.65045 2.49027e+14 1.70641e+13 1.84486e+13 -0.145682 0.00234645 0.00124297 7.11375e+07 6.87816e+08 1.53804e+11
3 49 0.300832 0.315009 0.299782 394.206 192.85 385.55 8.65598 2.45423e+14 1.68171e+13 1.81949e+13 -0.154005 0.00234443 0.0012468 7.64274e+07 6.87816e+08 1.53804e+11
3 50 0.315009 0.329855 0.313911 389.796 186.798 381.134 8.66182 2.41703e+14 1.65623e+13 1.7933e+13 -0.163129 0.0023423 0.00125057 8.20456e+07 6.87816e+08 1.53804e+11
3 51 0.329855 0.345401 0.328705 385.23 180.754 376.562 8.66799 2.37868e+14 1.62994e+13 1.76628e+13 -0.172693 0.00234005 0.00125428 8.80065e+07 6.87816e+08 1.53804e+11
3 52 0.345401 0.361679 0.344196 380.506 174.73 371.832 8.67449 2.33915e+14 1.60286e+13 1.73842e+13 -0.182311 0.00233768 0.00125795 9.43247e+07 6.87816e+08 1.53804e+11
3 53 0.361679 0.378724 0.360418 375.62 168.709 366.939 8.68137 2.29844e+14 1.57496e+13 1.70972e+13 -0.190478 0.00233518 0.00126153 1.01014e+08 6.87816e+08 1.53804e+11
3 54 0.378724 0.396573 0.377404 370.571 162.711 361.882 8.68864 2.25655e+14 1.54626e+13 1.68017e+13 -0.198025 0.00233255 0.00126503 1.08087e+08 6.87816e+08 1.53804e+11
3 55 0.396573 0.415263 0.39519 365.355 156.74 356.659 8.69632 2.21349e+14 1.51675e+13 1.64978e+13 -0.205603 0.00232976 0.00126844 1.15559e+08 6.87816e+08 1.53804e+11
