#i RadiusInner RadiusOuter RadiusIso SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic MassProfHalo MassProfStar MassProfCold MassProfHot DensityProfHot TemperatureProfHot CoolingRate CoolingTime SDensitySFR SDensityOFR SDensityCAR StellarAge MassProfDM MassProfDMContracted MassMetalCold MassMetalStar SDensityMetalCold SDensityMetalStar MetallicityCold MetallicityStar MassStar MassHalo
40 0.092255 0.0966029 5.62192 4029.18 0 0 4029.18 2.59454e+06 0 1.29315e+08 0.0134465 3.55527 1738.45 3.24224e-06 534.222 0 0 9.9025e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
41 0.0966029 0.101156 5.88688 3966.73 0 0 3966.73 2.84319e+06 0 1.40535e+08 0.0154345 3.55402 1738.04 3.72084e-06 534.284 0 0 9.88672e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
42 0.101156 0.105923 6.16432 3903.22 0 0 3903.22 3.11559e+06 0 1.52641e+08 0.0177162 3.55271 1737.61 4.27e-06 534.35 0 0 9.87022e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
43 0.105923 0.110915 6.45483 3838.69 0 0 3838.69 3.41399e+06 0 1.65695e+08 0.0203349 3.55134 1737.17 4.9001e-06 534.418 0 0 9.85298e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
44 0.110915 0.116142 6.75904 3773.16 0 0 3773.16 3.74085e+06 0 1.79764e+08 0.0233404 3.54991 1736.7 5.62305e-06 534.49 0 0 9.83495e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
45 0.116142 0.121616 7.07758 3706.68 0 0 3706.68 4.09888e+06 0 1.94918e+08 0.0267896 3.54841 1736.21 6.45249e-06 534.565 0 0 9.81611e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
46 0.121616 0.127347 7.41114 3639.29 0 0 3639.29 4.49103e+06 0 2.11233e+08 0.0307482 3.54685 1735.7 7.40409e-06 534.644 0 0 9.79642e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
47 0.127347 0.133349 7.76041 3571.02 0 0 3571.02 4.92053e+06 0 2.28786e+08 0.0352911 3.54521 1735.17 8.49579e-06 534.726 0 0 9.77585e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
48 0.133349 0.139634 8.12615 3501.92 0 0 3501.92 5.39091e+06 0 2.4766e+08 0.0405046 3.54349 1734.61 9.74819e-06 534.813 0 0 9.75435e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
49 0.139634 0.146214 8.50912 3432.04 0 0 3432.04 5.90603e+06 0 2.67942e+08 0.0464874 3.5417 1734.02 1.11849e-05 534.903 0 0 9.73189e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
50 0.146214 0.153105 8.91015 3361.43 0 0 3361.43 6.47013e+06 0 2.89723e+08 0.0533529 3.53982 1733.41 1.28329e-05 534.997 0 0 9.70843e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
51 0.153105 0.160321 9.33007 3290.14 0 0 3290.14 7.08781e+06 0 3.13099e+08 0.0612313 3.53786 1732.77 1.47232e-05 535.096 0 0 9.68392e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
52 0.160321 0.167877 9.76978 3218.23 0 0 3218.23 7.76412e+06 0 3.38171e+08 0.0702716 3.53581 1732.1 1.68914e-05 535.2 0 0 9.65833e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
53 0.167877 0.175788 10.2302 3145.76 0 0 3145.76 8.50459e+06 0 3.65042e+08 0.0806449 3.53366 1731.4 1.93783e-05 535.308 0 0 9.6316e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
54 0.175788 0.184073 10.7124 3072.78 0 0 3072.78 9.31524e+06 0 3.93822e+08 0.0925476 3.53141 1730.66 2.22304e-05 535.422 0 0 9.60369e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
55 0.184073 0.192748 11.2172 2999.36 0 0 2999.36 1.02027e+07 0 4.24624e+08 0.106205 3.52907 1729.9 2.55013e-05 535.54 0 0 9.57455e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
56 0.192748 0.201832 11.7459 2925.57 0 0 2925.57 1.1174e+07 0 4.57568e+08 0.121874 3.52661 1729.09 2.92522e-05 535.665 0 0 9.54413e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
57 0.201832 0.211344 12.2994 2851.47 0 0 2851.47 1.22373e+07 0 4.92775e+08 0.139852 3.52404 1728.25 3.35534e-05 535.795 0 0 9.51238e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
58 0.211344 0.221304 12.8791 2777.14 0 0 2777.14 1.34009e+07 0 5.30372e+08 0.160477 3.52136 1727.38 3.84854e-05 535.931 0 0 9.47925e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
59 0.221304 0.231734 13.4861 2702.65 0 0 2702.65 1.46743e+07 0 5.70491e+08 0.18414 3.51855 1726.46 4.41402e-05 536.073 0 0 9.44468e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
60 0.231734 0.242655 14.1216 2628.08 0 0 2628.08 1.60678e+07 0 6.13267e+08 0.211285 3.51562 1725.5 5.06234e-05 536.222 0 0 9.40862e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
61 0.242655 0.254091 14.7872 2553.49 0 0 2553.49 1.75924e+07 0 6.58838e+08 0.242425 3.51255 1724.5 5.80559e-05 536.378 0 0 9.37101e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
62 0.254091 0.266066 15.4841 2478.97 0 0 2478.97 1.92604e+07 0 7.07348e+08 0.278146 3.50935 1723.45 6.6576e-05 536.541 0 0 9.33178e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
63 0.266066 0.278606 16.2138 2404.6 0 0 2404.6 2.10851e+07 0 7.58942e+08 0.319119 3.506 1722.35 7.63422e-05 536.712 0 0 9.29088e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
64 0.278606 0.291736 16.9779 2330.46 0 0 2330.46 2.3081e+07 0 8.1377e+08 0.366117 3.5025 1721.2 8.75359e-05 536.891 0 0 9.24825e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
65 0.291736 0.305485 17.7781 2256.62 0 0 2256.62 2.52639e+07 0 8.71983e+08 0.42002 3.49884 1720 0.000100365 537.078 0 0 9.20381e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
66 0.305485 0.319882 18.6159 2183.16 0 0 2183.16 2.7651e+07 0 9.33734e+08 0.481842 3.49502 1718.75 0.000115066 537.274 0 0 9.15751e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
67 0.319882 0.334958 19.4933 2110.18 0 0 2110.18 3.02612e+07 0 9.99179e+08 0.552743 3.49103 1717.44 0.000131913 537.479 0 0 9.10928e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
68 0.334958 0.350744 20.412 2037.74 0 0 2037.74 3.31148e+07 0 1.06848e+09 0.63405 3.48686 1716.07 0.000151215 537.693 0 0 9.05905e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
69 0.350744 0.367274 21.374 1965.93 0 0 1965.93 3.62343e+07 0 1.14178e+09 0.727286 3.4825 1714.64 0.000173328 537.917 0 0 9.00675e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
70 0.367274 0.384583 22.3813 1894.82 0 0 1894.82 3.96439e+07 0 1.21925e+09 0.834196 3.47795 1713.15 0.000198661 538.151 0 0 8.9523e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
71 0.384583 0.402708 23.4361 1824.5 0 0 1824.5 4.33701e+07 0 1.30104e+09 0.956777 3.4732 1711.59 0.000227678 538.397 0 0 8.89564e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
72 0.402708 0.421687 24.5406 1755.03 0 0 1755.03 4.74415e+07 0 1.3873e+09 1.09732 3.46823 1709.96 0.000260911 538.653 0 0 8.8367e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
73 0.421687 0.44156 25.6971 1686.49 0 0 1686.49 5.18896e+07 0 1.4782e+09 1.25844 3.46305 1708.26 0.00029897 538.922 0 0 8.7754e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
74 0.44156 0.46237 26.9082 1618.94 0 0 1618.94 5.67484e+07 0 1.57387e+09 1.44314 3.45765 1706.48 0.000342549 539.203 0 0 8.71166e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
75 0.46237 0.484161 28.1764 1552.47 0 0 1552.47 6.20548e+07 0 1.67447e+09 1.65486 3.452 1704.62 0.000392443 539.496 0 0 8.64542e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
76 0.484161 0.506979 29.5043 1487.13 0 0 1487.13 6.78491e+07 0 1.78013e+09 1.89754 3.44611 1702.68 0.00044956 539.804 0 0 8.57659e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
77 0.506979 0.530872 30.8948 1422.98 0 0 1422.98 7.4175e+07 0 1.89098e+09 2.17567 3.43997 1700.66 0.000514937 540.125 0 0 8.50511e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
78 0.530872 0.555891 32.3508 1360.08 0 0 1360.08 8.10799e+07 0 2.00716e+09 2.49441 3.43355 1698.54 0.000589758 540.461 0 0 8.4309e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
79 0.555891 0.58209 33.8754 1298.5 0 0 1298.5 8.86153e+07 0 2.12878e+09 2.85966 3.42687 1696.34 0.000675375 540.812 0 0 8.35388e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
80 0.58209 0.609523 35.4719 1238.27 0 0 1238.27 9.68369e+07 0 2.25595e+09 3.27817 3.41989 1694.03 0.000773331 541.18 0 0 8.27399e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
81 0.609523 0.638249 37.1437 1179.45 0 0 1179.45 1.05805e+08 0 2.38876e+09 3.75766 3.41262 1691.63 0.000885385 541.564 0 0 8.19115e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
82 0.638249 0.668329 38.8942 1122.07 0 0 1122.07 1.15586e+08 0 2.5273e+09 4.30697 3.40504 1689.12 0.00101355 541.965 0 0 8.1053e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
83 0.668329 0.699826 40.7272 1066.19 0 0 1066.19 1.26251e+08 0 2.67164e+09 4.9362 3.39713 1686.51 0.00116011 542.385 0 0 8.01636e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
84 0.699826 0.732808 42.6466 1011.83 0 0 1011.83 1.37875e+08 0 2.82184e+09 5.6569 3.3889 1683.78 0.00132768 542.824 0 0 7.92428e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
85 0.732808 0.767344 44.6565 959.026 0 0 959.026 1.50544e+08 0 2.97794e+09 6.48227 3.38032 1680.94 0.00151924 543.283 0 0 7.82899e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
86 0.767344 0.803508 46.7611 907.803 0 0 907.803 1.64346e+08 0 3.13995e+09 7.42742 3.37138 1677.97 0.00173817 543.763 0 0 7.73044e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
87 0.803508 0.841376 48.9649 858.184 0 0 858.184 1.79378e+08 0 3.30789e+09 8.50961 3.36207 1674.88 0.00198834 544.264 0 0 7.62858e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
88 0.841376 0.881029 51.2725 810.187 0 0 810.187 1.95747e+08 0 3.48172e+09 9.74854 3.35238 1671.66 0.00227416 544.788 0 0 7.52335e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
89 0.881029 0.92255 53.6889 763.826 0 0 763.826 2.13565e+08 0 3.66143e+09 11.1667 3.3423 1668.31 0.00260061 545.336 0 0 7.41472e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
90 0.92255 0.966029 56.2192 719.11 0 0 719.11 2.32954e+08 0 3.84693e+09 12.79 3.3318 1664.82 0.0029734 545.908 0 0 7.30265e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
91 0.966029 1.01156 58.8688 676.045 0 0 676.045 2.54046e+08 0 4.03815e+09 14.6475 3.32088 1661.18 0.00339901 546.505 0 0 7.18711e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
92 1.01156 1.05923 61.6432 634.633 0 0 634.633 2.76983e+08 0 4.23498e+09 16.773 3.30952 1657.39 0.0038848 547.13 0 0 7.06809e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
93 1.05923 1.10915 64.5483 594.869 0 0 594.869 3.01917e+08 0 4.43727e+09 19.2047 3.29771 1653.44 0.00443914 547.782 0 0 6.94556e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
94 1.10915 1.16142 67.5904 556.748 0 0 556.748 3.29012e+08 0 4.64486e+09 21.9863 3.28544 1649.34 0.00507154 548.464 0 0 6.81954e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
95 1.16142 1.21616 70.7758 520.259 0 0 520.259 3.58445e+08 0 4.85757e+09 25.1675 3.27268 1645.06 0.00579278 549.175 0 0 6.69004e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
96 1.21616 1.27347 74.1114 485.388 0 0 485.388 3.90405e+08 0 5.07516e+09 28.8053 3.25943 1640.62 0.00661513 549.918 0 0 6.55706e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
97 1.27347 1.33349 77.6041 452.117 0 0 452.117 4.25093e+08 0 5.2974e+09 32.9644 3.24568 1636 0.00755247 550.694 0 0 6.42065e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
98 1.33349 1.39634 81.2615 420.426 0 0 420.426 4.62729e+08 0 5.52399e+09 37.7187 3.2314 1631.2 0.00862056 551.504 0 0 6.28085e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
99 1.39634 1.46214 85.0912 390.29 0 0 390.29 5.03542e+08 0 5.75464e+09 43.1523 3.21658 1626.21 0.00983725 552.35 0 0 6.13772e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
100 1.46214 1.53105 89.1015 361.682 0 0 361.682 5.47783e+08 0 5.989e+09 49.3611 3.20121 1621.02 0.0112228 553.233 0 0 5.99134e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
101 1.53105 1.60321 93.3007 334.571 0 0 334.571 5.95717e+08 0 6.22671e+09 56.4542 3.18527 1615.64 0.0128 554.154 0 0 5.8418e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
102 1.60321 1.67877 97.6978 308.926 0 0 308.926 6.47625e+08 0 6.46738e+09 64.556 3.16875 1610.05 0.0145948 555.115 0 0 5.68922e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
103 1.67877 1.75788 102.302 284.711 0 0 284.711 7.0381e+08 0 6.71058e+09 73.8079 3.15163 1604.25 0.0166365 556.118 0 0 5.53371e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
104 1.75788 1.84073 107.124 261.888 0 0 261.888 7.64592e+08 0 6.95586e+09 84.3708 3.13391 1598.23 0.0189582 557.164 0 0 5.37543e+06 nan 0 0 0 0 0 0 0 0 0 9.98918e+10
