#z i RadiusInner SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic RadiusOuter SDensitySFR  MetallicityCold MetallicityStar MassProfStar MassStar MassBin RadiusIso
3 129 10.2651 1.06233e-18 0 0 1.06233e-18 10.7489 0 0 0 0 0 10 338.754
3 130 10.7489 1.87405e-19 0 0 1.87405e-19 11.2555 0 0 0 0 0 10 354.719
3 131 11.2555 3.05249e-20 0 0 3.05249e-20 11.7859 0 0 0 0 0 10 371.437
3 132 11.7859 4.57352e-21 0 0 4.57352e-21 12.3414 0 0 0 0 0 10 388.942
3 133 12.3414 6.27864e-22 0 0 6.27864e-22 12.923 0 0 0 0 0 10 407.272
3 134 12.923 7.86525e-23 0 0 7.86525e-23 13.5321 0 0 0 0 0 10 426.466
3 135 13.5321 8.95203e-24 0 0 8.95203e-24 14.1698 0 0 0 0 0 10 446.565
3 136 14.1698 9.21578e-25 0 0 9.21578e-25 14.8376 0 0 0 0 0 10 467.611
3 137 14.8376 8.54066e-26 0 0 8.54066e-26 15.5369 0 0 0 0 0 10 489.649
3 138 15.5369 7.09005e-27 0 0 7.09005e-27 16.2691 0 0 0 0 0 10 512.725
3 139 16.2691 5.24509e-28 0 0 5.24509e-28 17.0358 0 0 0 0 0 10 536.889
3 140 17.0358 3.43909e-29 0 0 3.43909e-29 17.8387 0 0 0 0 0 10 562.192
3 141 17.8387 1.98723e-30 0 0 1.98723e-30 18.6794 0 0 0 0 0 10 588.688
3 142 18.6794 1.00595e-31 0 0 1.00595e-31 19.5598 0 0 0 0 0 10 616.432
3 143 19.5598 4.43317e-33 0 0 4.43317e-33 20.4816 0 0 0 0 0 10 645.483
3 144 20.4816 1.68975e-34 0 0 1.68975e-34 21.4469 0 0 0 0 0 10 675.904
3 145 21.4469 5.53247e-36 0 0 5.53247e-36 22.4576 0 0 0 0 0 10 707.758
3 146 22.4576 1.54485e-37 0 0 1.54485e-37 23.516 0 0 0 0 0 10 741.114
3 147 23.516 3.65138e-39 0 0 3.65138e-39 24.6243 0 0 0 0 0 10 776.041
3 148 24.6243 7.24776e-41 0 0 7.24776e-41 25.7848 0 0 0 0 0 10 812.615
3 149 25.7848 1.19823e-42 0 0 1.19823e-42 27 0 0 0 0 0 10 850.912
3 150 27 1.63572e-44 0 0 1.63572e-44 28.2725 0 0 0 0 0 10 891.015
3 151 28.2725 1.82713e-46 0 0 1.82713e-46 29.6049 0 0 0 0 0 10 933.007
3 152 29.6049 1.65425e-48 0 0 1.65425e-48 31.0001 0 0 0 0 0 10 976.978
3 153 31.0001 1.20194e-50 0 0 1.20194e-50 32.4611 0 0 0 0 0 10 1023.02
3 154 32.4611 6.93565e-53 0 0 6.93565e-53 33.991 0 0 0 0 0 10 1071.24
3 155 33.991 3.14398e-55 0 0 3.14398e-55 35.5929 0 0 0 0 0 10 1121.72
3 156 35.5929 1.10686e-57 0 0 1.10686e-57 37.2704 0 0 0 0 0 10 1174.59
3 157 37.2704 2.99043e-60 0 0 2.99043e-60 39.0269 0 0 0 0 0 10 1229.94
3 158 39.0269 6.12291e-63 0 0 6.12291e-63 40.8662 0 0 0 0 0 10 1287.91
3 159 40.8662 9.37704e-66 0 0 9.37704e-66 42.7921 0 0 0 0 0 10 1348.61
3 160 42.7921 1.05948e-68 0 0 1.05948e-68 44.8088 0 0 0 0 0 10 1412.16
3 161 44.8088 8.7054e-72 0 0 8.7054e-72 46.9206 0 0 0 0 0 10 1478.72
3 162 46.9206 5.12409e-75 0 0 5.12409e-75 49.1319 0 0 0 0 0 10 1548.41
3 163 49.1319 2.12681e-78 0 0 2.12681e-78 51.4474 0 0 0 0 0 10 1621.38
3 164 51.4474 6.12288e-82 0 0 6.12288e-82 53.8721 0 0 0 0 0 10 1697.79
3 165 53.8721 1.2017e-85 0 0 1.2017e-85 56.411 0 0 0 0 0 10 1777.81
3 166 56.411 1.57904e-89 0 0 1.57904e-89 59.0696 0 0 0 0 0 10 1861.59
3 167 59.0696 1.36308e-93 0 0 1.36308e-93 61.8534 0 0 0 0 0 10 1949.33
3 168 61.8534 7.57836e-98 0 0 7.57836e-98 64.7685 0 0 0 0 0 10 2041.2
3 169 64.7685 2.65791e-102 0 0 2.65791e-102 67.8209 0 0 0 0 0 10 2137.4
