#i RadiusInner SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic RadiusOuter MassProfHalo MassProfStar MassProfCold MassProfHot DensityProfHot TemperatureProfHot CoolingRate CoolingTime SDensitySFR SDensityOFR MassProfDM MassProfDMContracted MassMetalCold MassMetalStar SDensityMetalCold SDensityMetalStar MetallicityCold MetallicityStar MassBin RadiusIso
43 0.195598 246.191 0 0 246.191 0.204816 6.64876e+06 0 4.32665e+07 993.829 19843.4 22683.1 10840.5 0.00849926 0 0 0 0 0 0 0 0 0 0 10 6.45483
44 0.204816 236.732 0 0 236.732 0.214469 7.26795e+06 0 4.62761e+07 1095.1 18996.8 23178.2 10714.5 0.00945197 0 0 0 0 0 0 0 0 0 0 10 6.75904
45 0.214469 227.343 0 0 227.343 0.224576 7.94371e+06 0 4.94452e+07 1206.39 18181.2 23679.6 10589.9 0.0105086 0 0 0 0 0 0 0 0 0 0 10 7.07758
46 0.224576 218.037 0 0 218.037 0.23516 8.68106e+06 0 5.27777e+07 1328.64 17395.5 24187.2 10466.5 0.0116803 0 0 0 0 0 0 0 0 0 0 10 7.41114
47 0.23516 208.827 0 0 208.827 0.246243 9.48544e+06 0 5.62775e+07 1462.9 16638.9 24700.7 10344.3 0.0129789 0 0 0 0 0 0 0 0 0 0 10 7.76041
48 0.246243 199.726 0 0 199.726 0.257848 1.03627e+07 0 5.99476e+07 1610.3 15910.2 25219.9 10231.5 0.0144063 0 0 0 0 0 0 0 0 0 0 10 8.12615
49 0.257848 190.746 0 0 190.746 0.27 1.13194e+07 0 6.37908e+07 1772.07 15208.7 25744.7 10153.1 0.0159334 0 0 0 0 0 0 0 0 0 0 10 8.50912
50 0.27 181.901 0 0 181.901 0.282725 1.23622e+07 0 6.78094e+07 1949.56 14533.5 26274.8 10074.7 0.0176178 0 0 0 0 0 0 0 0 0 0 10 8.91015
51 0.282725 173.203 0 0 173.203 0.296049 1.34987e+07 0 7.2005e+07 2144.24 13883.7 26810 9996.28 0.0194752 0 0 0 0 0 0 0 0 0 0 10 9.33007
52 0.296049 164.663 0 0 164.663 0.310001 1.4737e+07 0 7.63785e+07 2357.7 13258.5 27349.9 9917.78 0.0215226 0 0 0 0 0 0 0 0 0 0 10 9.76978
53 0.310001 156.294 0 0 156.294 0.324611 1.60859e+07 0 8.09302e+07 2591.66 12657 27894.3 9839.28 0.0237785 0 0 0 0 0 0 0 0 0 0 10 10.2302
54 0.324611 148.106 0 0 148.106 0.33991 1.75547e+07 0 8.56596e+07 2848.01 12078.7 28442.8 9756.64 0.0262744 0 0 0 0 0 0 0 0 0 0 10 10.7124
55 0.33991 140.11 0 0 140.11 0.355929 1.91537e+07 0 9.05652e+07 3128.79 11522.5 28995.1 9669.71 0.0290369 0 0 0 0 0 0 0 0 0 0 10 11.2172
56 0.355929 132.315 0 0 132.315 0.372704 2.08938e+07 0 9.56448e+07 3436.21 10988 29551 9582.93 0.03208 0 0 0 0 0 0 0 0 0 0 10 11.7459
57 0.372704 124.732 0 0 124.732 0.390269 2.2787e+07 0 1.00895e+08 3772.68 10474.3 30109.9 9496.35 0.0354309 0 0 0 0 0 0 0 0 0 0 10 12.2994
58 0.390269 117.367 0 0 117.367 0.408662 2.4846e+07 0 1.06312e+08 4140.78 9980.7 30671.4 9409.93 0.0391192 0 0 0 0 0 0 0 0 0 0 10 12.8791
59 0.408662 110.23 0 0 110.23 0.427921 2.70844e+07 0 1.11891e+08 4543.36 9506.65 31235.2 9323.64 0.0431775 0 0 0 0 0 0 0 0 0 0 10 13.4861
60 0.427921 103.326 0 0 103.326 0.448088 2.95171e+07 0 1.17624e+08 4983.44 9051.45 31800.9 9235.73 0.04765 0 0 0 0 0 0 0 0 0 0 10 14.1216
61 0.448088 96.6627 0 0 96.6627 0.469206 3.216e+07 0 1.23505e+08 5464.33 8614.49 32367.8 9144.08 0.0525902 0 0 0 0 0 0 0 0 0 0 10 14.7872
62 0.469206 90.2444 0 0 90.2444 0.491319 3.503e+07 0 1.29526e+08 5989.59 8195.16 32935.6 9052.82 0.0580216 0 0 0 0 0 0 0 0 0 0 10 15.4841
63 0.491319 84.0756 0 0 84.0756 0.514474 3.81455e+07 0 1.35676e+08 6563.06 7792.88 33503.6 8961.9 0.0639901 0 0 0 0 0 0 0 0 0 0 10 16.2138
64 0.514474 78.1598 0 0 78.1598 0.538721 4.1526e+07 0 1.41944e+08 7188.9 7407.07 34071.5 8871.32 0.0705462 0 0 0 0 0 0 0 0 0 0 10 16.9779
65 0.538721 72.4993 0 0 72.4993 0.56411 4.51925e+07 0 1.4832e+08 7871.57 7037.18 34638.5 8781.07 0.077744 0 0 0 0 0 0 0 0 0 0 10 17.7781
66 0.56411 67.0956 0 0 67.0956 0.590696 4.91673e+07 0 1.54789e+08 8615.9 6682.69 35204.2 8691.17 0.0856423 0 0 0 0 0 0 0 0 0 0 10 18.6159
67 0.590696 61.9493 0 0 61.9493 0.618534 5.34744e+07 0 1.61339e+08 9427.08 6343.06 35767.8 8628.68 0.0940091 0 0 0 0 0 0 0 0 0 0 10 19.4933
68 0.618534 57.0601 0 0 57.0601 0.647685 5.81393e+07 0 1.67953e+08 10310.7 6017.8 36328.8 8591.31 0.102847 0 0 0 0 0 0 0 0 0 0 10 20.412
69 0.647685 52.4267 0 0 52.4267 0.678209 6.31892e+07 0 1.74617e+08 11272.7 5706.41 36886.6 8552.37 0.112484 0 0 0 0 0 0 0 0 0 0 10 21.374
70 0.678209 48.0468 0 0 48.0468 0.710172 6.86531e+07 0 1.81313e+08 12319.5 5408.42 37440.4 8511.92 0.122987 0 0 0 0 0 0 0 0 0 0 10 22.3813
71 0.710172 43.9175 0 0 43.9175 0.743642 7.45618e+07 0 1.88024e+08 13458.1 5123.38 37989.5 8469.87 0.13443 0 0 0 0 0 0 0 0 0 0 10 23.4361
72 0.743642 40.0348 0 0 40.0348 0.778689 8.09479e+07 0 1.94732e+08 14695.9 4850.82 38533.4 8426.22 0.146892 0 0 0 0 0 0 0 0 0 0 10 24.5406
73 0.778689 36.3941 0 0 36.3941 0.815387 8.78461e+07 0 2.01417e+08 16040.7 4590.32 39071.1 8381.02 0.160458 0 0 0 0 0 0 0 0 0 0 10 25.6971
74 0.815387 32.9898 0 0 32.9898 0.853815 9.52931e+07 0 2.08062e+08 17501 4341.46 39602 8334.2 0.175221 0 0 0 0 0 0 0 0 0 0 10 26.9082
75 0.853815 29.816 0 0 29.816 0.894054 1.03328e+08 0 2.14647e+08 19085.9 4103.81 40125.3 8364.44 0.189481 0 0 0 0 0 0 0 0 0 0 10 28.1764
76 0.894054 26.8657 0 0 26.8657 0.936189 1.11991e+08 0 2.21153e+08 20805.1 3876.99 40640.3 8442.18 0.203636 0 0 0 0 0 0 0 0 0 0 10 29.5043
77 0.936189 24.1317 0 0 24.1317 0.980311 1.21326e+08 0 2.2756e+08 22668.7 3660.61 41146.1 8514.73 0.218876 0 0 0 0 0 0 0 0 0 0 10 30.8948
78 0.980311 21.606 0 0 21.606 1.02651 1.31378e+08 0 2.3385e+08 24687.9 3454.28 41642 8581.9 0.235283 0 0 0 0 0 0 0 0 0 0 10 32.3508
