#z i RadiusInner SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic RadiusOuter SDensitySFR  MetallicityCold MetallicityStar MassProfStar MassStar MassBin RadiusIso
2.5 8 0.0390269 106.863 0 0 106.863 0.0408662 0 0 0 0 0 10 1.28791
2.5 9 0.0408662 105.685 0 0 105.685 0.0427921 0 0 0 0 0 10 1.34861
2.5 10 0.0427921 104.469 0 0 104.469 0.0448088 0 0 0 0 0 10 1.41216
2.5 11 0.0448088 103.214 0 0 103.214 0.0469206 0 0 0 0 0 10 1.47872
2.5 12 0.0469206 101.92 0 0 101.92 0.0491319 0 0 0 0 0 10 1.54841
2.5 13 0.0491319 100.587 0 0 100.587 0.0514474 0 0 0 0 0 10 1.62138
2.5 14 0.0514474 99.2135 0 0 99.2135 0.0538721 0 0 0 0 0 10 1.69779
2.5 15 0.0538721 97.8008 0 0 97.8008 0.056411 0 0 0 0 0 10 1.77781
2.5 16 0.056411 96.3481 0 0 96.3481 0.0590696 0 0 0 0 0 10 1.86159
2.5 17 0.0590696 94.8555 0 0 94.8555 0.0618534 0 0 0 0 0 10 1.94933
2.5 18 0.0618534 93.3231 0 0 93.3231 0.0647685 0 0 0 0 0 10 2.0412
2.5 19 0.0647685 91.7512 0 0 91.7512 0.0678209 0 0 0 0 0 10 2.1374
2.5 20 0.0678209 90.14 0 0 90.14 0.0710172 0 0 0 0 0 10 2.23813
2.5 21 0.0710172 88.4901 0 0 88.4901 0.0743642 0 0 0 0 0 10 2.34361
2.5 22 0.0743642 86.8021 0 0 86.8021 0.0778689 0 0 0 0 0 10 2.45406
2.5 23 0.0778689 85.0766 0 0 85.0766 0.0815387 0 0 0 0 0 10 2.56971
2.5 24 0.0815387 83.3146 0 0 83.3146 0.0853815 0 0 0 0 0 10 2.69082
2.5 25 0.0853815 81.5171 0 0 81.5171 0.0894054 0 0 0 0 0 10 2.81764
2.5 26 0.0894054 79.6852 0 0 79.6852 0.0936189 0 0 0 0 0 10 2.95043
2.5 27 0.0936189 77.8205 0 0 77.8205 0.0980311 0 0 0 0 0 10 3.08948
2.5 28 0.0980311 75.9243 0 0 75.9243 0.102651 0 0 0 0 0 10 3.23508
2.5 29 0.102651 73.9984 0 0 73.9984 0.107489 0 0 0 0 0 10 3.38754
2.5 30 0.107489 72.0445 0 0 72.0445 0.112555 0 0 0 0 0 10 3.54719
2.5 31 0.112555 70.0648 0 0 70.0648 0.117859 0 0 0 0 0 10 3.71437
2.5 32 0.117859 68.0614 0 0 68.0614 0.123414 0 0 0 0 0 10 3.88942
2.5 33 0.123414 66.0367 0 0 66.0367 0.12923 0 0 0 0 0 10 4.07272
2.5 34 0.12923 63.9932 0 0 63.9932 0.135321 0 0 0 0 0 10 4.26466
2.5 35 0.135321 61.9336 0 0 61.9336 0.141698 0 0 0 0 0 10 4.46565
2.5 36 0.141698 59.8607 0 0 59.8607 0.148376 0 0 0 0 0 10 4.67611
2.5 37 0.148376 57.7776 0 0 57.7776 0.155369 0 0 0 0 0 10 4.89649
2.5 38 0.155369 55.6874 0 0 55.6874 0.162691 0 0 0 0 0 10 5.12725
2.5 39 0.162691 53.5933 0 0 53.5933 0.170358 0 0 0 0 0 10 5.36889
2.5 40 0.170358 51.4988 0 0 51.4988 0.178387 0 0 0 0 0 10 5.62192
2.5 41 0.178387 49.4074 0 0 49.4074 0.186794 0 0 0 0 0 10 5.88688
2.5 42 0.186794 47.3226 0 0 47.3226 0.195598 0 0 0 0 0 10 6.16432
2.5 43 0.195598 45.2481 0 0 45.2481 0.204816 0 0 0 0 0 10 6.45483
2.5 44 0.204816 43.1877 0 0 43.1877 0.214469 0 0 0 0 0 10 6.75904
2.5 45 0.214469 41.1452 0 0 41.1452 0.224576 0 0 0 0 0 10 7.07758
2.5 46 0.224576 39.1243 0 0 39.1243 0.23516 0 0 0 0 0 10 7.41114
2.5 47 0.23516 37.1289 0 0 37.1289 0.246243 0 0 0 0 0 10 7.76041
2.5 48 0.246243 35.1627 0 0 35.1627 0.257848 0 0 0 0 0 10 8.12615
2.5 49 0.257848 33.2296 0 0 33.2296 0.27 0 0 0 0 0 10 8.50912
2.5 50 0.27 31.3331 0 0 31.3331 0.282725 0 0 0 0 0 10 8.91015
2.5 51 0.282725 29.4768 0 0 29.4768 0.296049 0 0 0 0 0 10 9.33007
2.5 52 0.296049 27.6643 0 0 27.6643 0.310001 0 0 0 0 0 10 9.76978
2.5 53 0.310001 25.8988 0 0 25.8988 0.324611 0 0 0 0 0 10 10.2302
2.5 54 0.324611 24.1835 0 0 24.1835 0.33991 0 0 0 0 0 10 10.7124
2.5 55 0.33991 22.5214 0 0 22.5214 0.355929 0 0 0 0 0 10 11.2172
2.5 56 0.355929 20.9152 0 0 20.9152 0.372704 0 0 0 0 0 10 11.7459
2.5 57 0.372704 19.3675 0 0 19.3675 0.390269 0 0 0 0 0 10 12.2994
2.5 58 0.390269 17.8805 0 0 17.8805 0.408662 0 0 0 0 0 10 12.8791
2.5 59 0.408662 16.4561 0 0 16.4561 0.427921 0 0 0 0 0 10 13.4861
2.5 60 0.427921 15.0961 0 0 15.0961 0.448088 0 0 0 0 0 10 14.1216
2.5 61 0.448088 13.8018 0 0 13.8018 0.469206 0 0 0 0 0 10 14.7872
2.5 62 0.469206 12.5742 0 0 12.5742 0.491319 0 0 0 0 0 10 15.4841
2.5 63 0.491319 11.414 0 0 11.414 0.514474 0 0 0 0 0 10 16.2138
2.5 64 0.514474 10.3215 0 0 10.3215 0.538721 0 0 0 0 0 10 16.9779
2.5 65 0.538721 9.29678 0 0 9.29678 0.56411 0 0 0 0 0 10 17.7781
2.5 66 0.56411 8.33936 0 0 8.33936 0.590696 0 0 0 0 0 10 18.6159
2.5 67 0.590696 7.44854 0 0 7.44854 0.618534 0 0 0 0 0 10 19.4933
2.5 68 0.618534 6.62326 0 0 6.62326 0.647685 0 0 0 0 0 10 20.412
2.5 69 0.647685 5.86211 0 0 5.86211 0.678209 0 0 0 0 0 10 21.374
2.5 70 0.678209 5.16339 0 0 5.16339 0.710172 0 0 0 0 0 10 22.3813
2.5 71 0.710172 4.52507 0 0 4.52507 0.743642 0 0 0 0 0 10 23.4361
2.5 72 0.743642 3.94489 0 0 3.94489 0.778689 0 0 0 0 0 10 24.5406
2.5 73 0.778689 3.42032 0 0 3.42032 0.815387 0 0 0 0 0 10 25.6971
2.5 74 0.815387 2.94864 0 0 2.94864 0.853815 0 0 0 0 0 10 26.9082
2.5 75 0.853815 2.52692 0 0 2.52692 0.894054 0 0 0 0 0 10 28.1764
2.5 76 0.894054 2.15213 0 0 2.15213 0.936189 0 0 0 0 0 10 29.5043
2.5 77 0.936189 1.82112 0 0 1.82112 0.980311 0 0 0 0 0 10 30.8948
2.5 78 0.980311 1.53065 0 0 1.53065 1.02651 0 0 0 0 0 10 32.3508
2.5 79 1.02651 1.2775 0 0 1.2775 1.07489 0 0 0 0 0 10 33.8754
2.5 80 1.07489 1.05841 0 0 1.05841 1.12555 0 0 0 0 0 10 35.4719
2.5 81 1.12555 0.870203 0 0 0.870203 1.17859 0 0 0 0 0 10 37.1437
2.5 82 1.17859 0.709763 0 0 0.709763 1.23414 0 0 0 0 0 10 38.8942
2.5 83 1.23414 0.574091 0 0 0.574091 1.2923 0 0 0 0 0 10 40.7272
2.5 84 1.2923 0.460323 0 0 0.460323 1.35321 0 0 0 0 0 10 42.6466
2.5 85 1.35321 0.365756 0 0 0.365756 1.41698 0 0 0 0 0 10 44.6565
2.5 86 1.41698 0.287868 0 0 0.287868 1.48376 0 0 0 0 0 10 46.7611
2.5 87 1.48376 0.224327 0 0 0.224327 1.55369 0 0 0 0 0 10 48.9649
2.5 88 1.55369 0.173008 0 0 0.173008 1.62691 0 0 0 0 0 10 51.2725
2.5 89 1.62691 0.131991 0 0 0.131991 1.70358 0 0 0 0 0 10 53.6889
