#i RadiusInner SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic RadiusOuter MassProfHalo MassProfStar MassProfCold MassProfHot DensityProfHot TemperatureProfHot CoolingRate CoolingTime SDensitySFR SDensityOFR SDensityCAR MassProfDM MassProfDMContracted MassMetalCold MassMetalStar SDensityMetalCold SDensityMetalStar MetallicityCold MetallicityStar MassBin RadiusIso
44 0.204816 129.954 0 0 129.954 0.214469 7.26795e+06 0 2.29187e+07 1094.15 18980.3 23178.2 10695.9 0.00946022 0 0 1.29776e+10 0 0 0 0 0 0 0 0 10 6.75904
45 0.214469 126.279 0 0 126.279 0.224576 7.94371e+06 0 2.4679e+07 1205.34 18165.4 23679.6 10571.4 0.0105178 0 0 1.28844e+10 0 0 0 0 0 0 0 0 10 7.07758
46 0.224576 122.586 0 0 122.586 0.23516 8.68106e+06 0 2.65527e+07 1327.48 17380.4 24187.2 10448.2 0.0116905 0 0 1.27875e+10 0 0 0 0 0 0 0 0 10 7.41114
47 0.23516 118.877 0 0 118.877 0.246243 9.48544e+06 0 2.8545e+07 1461.62 16624.4 24700.7 10326.3 0.0129902 0 0 1.26869e+10 0 0 0 0 0 0 0 0 10 7.76041
48 0.246243 115.159 0 0 115.159 0.257848 1.03627e+07 0 3.06612e+07 1608.89 15896.3 25219.9 10213.6 0.0144189 0 0 1.25823e+10 0 0 0 0 0 0 0 0 10 8.12615
49 0.257848 111.435 0 0 111.435 0.27 1.13194e+07 0 3.29065e+07 1770.52 15195.5 25744.7 10135.4 0.0159473 0 0 1.24738e+10 0 0 0 0 0 0 0 0 10 8.50912
50 0.27 107.711 0 0 107.711 0.282725 1.23622e+07 0 3.52862e+07 1947.86 14520.8 26274.8 10057.2 0.0176332 0 0 1.23611e+10 0 0 0 0 0 0 0 0 10 8.91015
51 0.282725 103.991 0 0 103.991 0.296049 1.34987e+07 0 3.78053e+07 2142.37 13871.6 26810 9978.86 0.0194922 0 0 1.22442e+10 0 0 0 0 0 0 0 0 10 9.33007
52 0.296049 100.281 0 0 100.281 0.310001 1.4737e+07 0 4.04689e+07 2355.64 13246.9 27349.9 9900.5 0.0215413 0 0 1.2123e+10 0 0 0 0 0 0 0 0 10 9.76978
53 0.310001 96.585 0 0 96.585 0.324611 1.60859e+07 0 4.32819e+07 2589.4 12646 27894.3 9822.14 0.0237992 0 0 1.19974e+10 0 0 0 0 0 0 0 0 10 10.2302
54 0.324611 92.9092 0 0 92.9092 0.33991 1.75547e+07 0 4.62488e+07 2845.53 12068.1 28442.8 9739.64 0.0262974 0 0 1.18672e+10 0 0 0 0 0 0 0 0 10 10.7124
55 0.33991 89.2583 0 0 89.2583 0.355929 1.91537e+07 0 4.93742e+07 3126.06 11512.5 28995.1 9652.86 0.0290622 0 0 1.17325e+10 0 0 0 0 0 0 0 0 10 11.2172
56 0.355929 85.6376 0 0 85.6376 0.372704 2.08938e+07 0 5.2662e+07 3433.22 10978.4 29551 9566.23 0.032108 0 0 1.1593e+10 0 0 0 0 0 0 0 0 10 11.7459
57 0.372704 82.0522 0 0 82.0522 0.390269 2.2787e+07 0 5.61162e+07 3769.39 10465.1 30109.9 9479.81 0.0354618 0 0 1.14487e+10 0 0 0 0 0 0 0 0 10 12.2994
58 0.390269 78.5072 0 0 78.5072 0.408662 2.4846e+07 0 5.97399e+07 4137.18 9972 30671.4 9393.53 0.0391533 0 0 1.12995e+10 0 0 0 0 0 0 0 0 10 12.8791
