#i RadiusInner RadiusOuter RadiusIso SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic MassProfHalo MassProfStar MassProfCold MassProfHot DensityProfHot TemperatureProfHot CoolingRate CoolingTime SDensitySFR SDensityOFR SDensityCAR StellarAge MassProfDM MassProfDMContracted MassMetalCold MassMetalStar SDensityMetalCold SDensityMetalStar MetallicityCold MetallicityStar MassStar MassHalo
64 0.600238 0.628526 0.175601 187.563 5222.4 186.84 0.722712 1.79008e+08 9.43114e+09 2.37543e+08 693931 492606 282678 1.37221e+07 0.00100108 9.5129e+13 8.70946e+10 1.73303e+12 5.14224 0 0 2.26138e+06 2.93619e+07 20.7084 268.88 0.110408 0.0514858 1.17223e+11 9.98021e+11
65 0.628526 0.658148 0.183877 186.685 5018.67 185.959 0.725929 1.95992e+08 1.00321e+10 2.5969e+08 766869 473436 289601 1.44605e+07 0.00116988 9.45293e+13 8.65455e+10 1.72465e+12 5.03944 0 0 2.45467e+06 3.08648e+07 20.5006 257.773 0.109814 0.0513628 1.17223e+11 9.98021e+11
66 0.658148 0.689165 0.192543 185.77 4819.12 185.041 0.729259 2.14573e+08 1.06647e+10 2.83854e+08 847339 454925 296655 1.52356e+07 0.00136658 9.39056e+13 8.59745e+10 1.71591e+12 4.93441 0 0 2.66347e+06 3.24155e+07 20.2872 246.904 0.109206 0.0512341 1.17223e+11 9.98021e+11
67 0.689165 0.721645 0.201617 184.818 4623.84 184.085 0.732706 2.34899e+08 1.13304e+10 3.10213e+08 936101 437052 303842 1.60492e+07 0.00159567 9.32571e+13 8.53807e+10 1.70681e+12 4.82713 0 0 2.88887e+06 3.4013e+07 20.0679 236.276 0.108582 0.0510996 1.17223e+11 9.98021e+11
68 0.721645 0.755655 0.211119 183.826 4432.89 183.089 0.736275 2.57132e+08 1.20301e+10 3.38961e+08 1.03399e+06 419797 311161 1.69029e+07 0.00186233 9.25829e+13 8.47635e+10 1.69733e+12 4.7176 0 0 3.13205e+06 3.56559e+07 19.8428 225.895 0.107944 0.0509588 1.17223e+11 9.98021e+11
69 0.755655 0.791268 0.221069 182.793 4246.35 182.053 0.739972 2.81448e+08 1.2765e+10 3.70305e+08 1.14192e+06 403141 318613 1.77982e+07 0.00214983 9.18823e+13 8.41221e+10 1.68746e+12 4.6058 0 0 3.39422e+06 3.73425e+07 19.6116 215.763 0.107289 0.0508116 1.17223e+11 9.98021e+11
70 0.791268 0.828559 0.231488 181.717 4064.26 180.973 0.743803 3.08038e+08 1.35363e+10 4.04471e+08 1.2609e+06 387063 326197 1.87371e+07 0.00242559 9.11544e+13 8.34556e+10 1.67718e+12 4.49171 0 0 3.67666e+06 3.90707e+07 19.3744 205.885 0.106618 0.0506576 1.17223e+11 9.98021e+11
71 0.828559 0.867608 0.242398 180.598 3886.67 179.85 0.747773 3.37113e+08 1.4345e+10 4.41703e+08 1.39204e+06 371547 333914 1.97213e+07 0.00273596 9.03982e+13 8.27634e+10 1.66649e+12 4.37534 0 0 3.98071e+06 4.08381e+07 19.1309 196.264 0.105931 0.0504966 1.17223e+11 9.98021e+11
72 0.867608 0.908497 0.253821 179.433 3713.64 178.681 0.75189 3.68899e+08 1.51923e+10 4.82263e+08 1.53653e+06 356575 341764 2.07525e+07 0.00308519 8.9613e+13 8.20445e+10 1.65537e+12 4.25667 0 0 4.30778e+06 4.2642e+07 18.8811 186.901 0.105227 0.0503283 1.17223e+11 9.98021e+11
73 0.908497 0.951313 0.265784 178.22 3545.19 177.464 0.75616 4.03646e+08 1.60792e+10 5.26436e+08 1.69571e+06 342128 349745 2.18328e+07 0.00347801 8.87978e+13 8.12981e+10 1.64381e+12 4.1357 0 0 4.65931e+06 4.44791e+07 18.625 177.799 0.104505 0.0501523 1.17223e+11 9.98021e+11
74 0.951313 0.996147 0.27831 176.959 3381.36 176.199 0.76059 4.41624e+08 1.70067e+10 5.74529e+08 1.87102e+06 328191 357857 2.2964e+07 0.00386648 8.79518e+13 8.05236e+10 1.63178e+12 4.01243 0 0 5.03681e+06 4.63459e+07 18.3624 168.961 0.103766 0.0499683 1.17223e+11 9.98021e+11
75 0.996147 1.04309 0.291426 175.648 3222.15 174.882 0.765188 4.83126e+08 1.79758e+10 6.2687e+08 2.06406e+06 314747 366100 2.41481e+07 0.00420033 8.70742e+13 7.972e+10 1.61928e+12 3.88688 0 0 5.44181e+06 4.82383e+07 18.0933 160.386 0.103009 0.049776 1.17223e+11 9.98021e+11
76 1.04309 1.09225 0.30516 174.284 3067.59 173.514 0.769962 5.28474e+08 1.89874e+10 6.83816e+08 2.27658e+06 301781 374473 2.53871e+07 0.00456278 8.61639e+13 7.88867e+10 1.6063e+12 3.75905 0 0 5.87592e+06 5.01518e+07 17.8176 152.076 0.102233 0.049575 1.17223e+11 9.98021e+11
77 1.09225 1.14373 0.319542 172.866 2917.68 172.091 0.774921 5.78016e+08 2.00424e+10 7.45748e+08 2.51047e+06 289277 382973 2.6683e+07 0.00495626 8.52203e+13 7.80228e+10 1.59282e+12 3.62895 0 0 6.34074e+06 5.20815e+07 17.5353 144.032 0.101439 0.0493651 1.17223e+11 9.98021e+11
78 1.14373 1.19763 0.334602 171.393 2772.42 170.612 0.780073 6.32131e+08 2.11416e+10 8.13076e+08 2.76781e+06 277221 391600 2.8038e+07 0.00538341 8.42425e+13 7.71275e+10 1.57882e+12 3.49661 0 0 6.83792e+06 5.40219e+07 17.2464 136.252 0.100625 0.0491457 1.17223e+11 9.98021e+11
