#z i RadiusInner RadiusOuter RadiusIso SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic SDensitySFR  SDensityOFR SDensityCAR StellarAge MetallicityCold MetallicityStar MassProfStar MassStar MassHalo
3 54 0.378724 0.396573 0.671619 3158.85 2422.88 3157.59 1.26132 4.00627e+15 2.21573e+11 9.90624e+12 -0.292856 0.0242234 0.0117576 2.14374e+09 6.06214e+09 1.53804e+11
3 55 0.396573 0.415263 0.703271 3053.86 2270.01 3052.57 1.28537 3.82961e+15 2.11803e+11 9.72706e+12 -0.30024 0.0236728 0.0115223 2.25195e+09 6.06214e+09 1.53804e+11
3 56 0.415263 0.434834 0.736415 2948.72 2122.69 2947.41 1.31055 3.65472e+15 2.02131e+11 9.54291e+12 -0.307677 0.0231204 0.011285 2.3629e+09 6.06214e+09 1.53804e+11
3 57 0.434834 0.455327 0.771121 2843.56 1980.97 2842.22 1.33691 3.48187e+15 1.92571e+11 9.35381e+12 -0.315163 0.0225666 0.0110459 2.47643e+09 6.06214e+09 1.53804e+11
3 58 0.455327 0.476786 0.807463 2738.5 1844.91 2737.13 1.36454 3.3113e+15 1.83137e+11 9.15981e+12 -0.32269 0.0220117 0.010805 2.59236e+09 6.06214e+09 1.53804e+11
3 59 0.476786 0.499256 0.845518 2633.67 1714.53 2632.27 1.3935 3.14327e+15 1.73844e+11 8.96098e+12 -0.330253 0.0214561 0.0105625 2.71049e+09 6.06214e+09 1.53804e+11
3 60 0.499256 0.522785 0.885366 2529.21 1589.84 2527.78 1.42389 2.97804e+15 1.64705e+11 8.75741e+12 -0.337843 0.0209001 0.0103187 2.8306e+09 6.06214e+09 1.53804e+11
3 61 0.522785 0.547423 0.927092 2425.25 1470.86 2423.8 1.45578 2.81585e+15 1.55735e+11 8.5492e+12 -0.345459 0.0203442 0.0100736 2.95244e+09 6.06214e+09 1.53804e+11
3 62 0.547423 0.573223 0.970784 2321.96 1357.56 2320.47 1.48927 2.65696e+15 1.46948e+11 8.33648e+12 -0.3531 0.0197887 0.00982751 3.07575e+09 6.06214e+09 1.53804e+11
3 63 0.573223 0.600238 1.01654 2219.47 1249.93 2217.94 1.52446 2.50163e+15 1.38357e+11 8.1194e+12 -0.360766 0.0192341 0.00958057 3.20023e+09 6.06214e+09 1.53804e+11
3 64 0.600238 0.628526 1.06444 2117.93 1147.91 2116.37 1.56146 2.35009e+15 1.29976e+11 7.89815e+12 -0.368452 0.0186808 0.00933299 3.32558e+09 6.06214e+09 1.53804e+11
3 65 0.628526 0.658148 1.11461 2017.51 1051.45 2015.91 1.6004 2.20257e+15 1.21817e+11 7.67293e+12 -0.376154 0.0181292 0.00908499 3.45148e+09 6.06214e+09 1.53804e+11
3 66 0.658148 0.689165 1.16714 1918.36 960.473 1916.72 1.64138 2.05931e+15 1.13893e+11 7.44398e+12 -0.383866 0.0175797 0.00883677 3.57758e+09 6.06214e+09 1.53804e+11
3 67 0.689165 0.721645 1.22214 1820.64 874.899 1818.95 1.68456 1.9205e+15 1.06216e+11 7.21155e+12 -0.391587 0.0170329 0.00858856 3.70352e+09 6.06214e+09 1.53804e+11
3 68 0.721645 0.755655 1.27974 1724.5 794.624 1722.77 1.73006 1.78635e+15 9.87969e+10 6.97595e+12 -0.399309 0.0164893 0.00834062 3.82895e+09 6.06214e+09 1.53804e+11
3 69 0.755655 0.791268 1.34006 1630.1 719.534 1628.33 1.77805 1.65703e+15 9.16448e+10 6.73749e+12 -0.407023 0.0159493 0.00809327 3.95348e+09 6.06214e+09 1.53804e+11
3 70 0.791268 0.828559 1.40321 1537.61 649.501 1535.78 1.82869 1.53271e+15 8.4769e+10 6.49652e+12 -0.414725 0.0154134 0.00784675 4.07674e+09 6.06214e+09 1.53804e+11
3 71 0.828559 0.867608 1.46934 1447.16 584.382 1445.27 1.88216 1.41353e+15 7.81776e+10 6.25343e+12 -0.422408 0.0148822 0.00760132 4.19833e+09 6.06214e+09 1.53804e+11
3 72 0.867608 0.908497 1.53859 1358.91 524.022 1356.97 1.93865 1.29962e+15 7.18775e+10 6.00862e+12 -0.430074 0.0143562 0.00735722 4.31789e+09 6.06214e+09 1.53804e+11
3 73 0.908497 0.951313 1.6111 1273 468.255 1271 1.99837 1.19107e+15 6.58741e+10 5.76254e+12 -0.437721 0.0138357 0.00711471 4.43503e+09 6.06214e+09 1.53804e+11
3 74 0.951313 0.996147 1.68703 1189.57 416.906 1187.51 2.06156 1.08797e+15 6.01718e+10 5.51566e+12 -0.445343 0.0133214 0.00687404 4.54939e+09 6.06214e+09 1.53804e+11
3 75 0.996147 1.04309 1.76654 1108.75 369.792 1106.62 2.12845 9.90355e+14 5.47733e+10 5.26847e+12 -0.452942 0.0128137 0.00663547 4.66061e+09 6.06214e+09 1.53804e+11
3 76 1.04309 1.09225 1.84979 1030.65 326.721 1028.45 2.19932 8.98264e+14 4.968e+10 5.0215e+12 -0.460513 0.012313 0.00639926 4.76835e+09 6.06214e+09 1.53804e+11
3 77 1.09225 1.14373 1.93697 955.393 287.494 953.118 2.27443 8.11691e+14 4.48919e+10 4.77529e+12 -0.468056 0.0118199 0.0061657 4.87231e+09 6.06214e+09 1.53804e+11
3 78 1.14373 1.19763 2.02826 883.07 251.911 880.716 2.35409 7.30608e+14 4.04075e+10 4.5304e+12 -0.475563 0.0113349 0.00593505 4.97219e+09 6.06214e+09 1.53804e+11
3 79 1.19763 1.25407 2.12384 813.769 219.764 811.33 2.43864 6.54961e+14 3.62237e+10 4.28743e+12 -0.483036 0.0108583 0.00570761 5.06773e+09 6.06214e+09 1.53804e+11
3 80 1.25407 1.31318 2.22394 747.562 190.846 745.034 2.52841 5.84669e+14 3.23361e+10 4.04695e+12 -0.490465 0.0103908 0.00548368 5.1587e+09 6.06214e+09 1.53804e+11
3 81 1.31318 1.37507 2.32875 684.51 164.948 681.887 2.62378 5.19626e+14 2.87388e+10 3.80959e+12 -0.497839 0.00993274 0.00526357 5.24491e+09 6.06214e+09 1.53804e+11
3 82 1.37507 1.43987 2.4385 624.657 141.862 621.932 2.72512 4.59701e+14 2.54246e+10 3.57594e+12 -0.505157 0.00948465 0.00504761 5.32622e+09 6.06214e+09 1.53804e+11
3 83 1.43987 1.50773 2.55342 568.033 121.383 565.2 2.83285 4.04743e+14 2.2385e+10 3.34663e+12 -0.512404 0.00904702 0.00483614 5.40249e+09 6.06214e+09 1.53804e+11
3 84 1.50773 1.57879 2.67376 514.65 103.309 511.703 2.94736 3.54574e+14 1.96103e+10 3.12226e+12 -0.519565 0.00862038 0.00462958 5.47367e+09 6.06214e+09 1.53804e+11
3 85 1.57879 1.65319 2.79977 464.507 87.4415 461.438 3.06903 3.09002e+14 1.70899e+10 2.90342e+12 -0.526634 0.00820531 0.00442838 5.53973e+09 6.06214e+09 1.53804e+11
3 86 1.65319 1.7311 2.93172 417.585 73.59 414.387 3.19823 2.67816e+14 1.4812e+10 2.69068e+12 -0.533573 0.00780245 0.00423306 5.60069e+09 6.06214e+09 1.53804e+11
3 87 1.7311 1.81269 3.06989 373.85 61.5691 370.515 3.33525 2.3079e+14 1.27642e+10 2.48461e+12 -0.540348 0.0074125 0.00404416 5.65661e+09 6.06214e+09 1.53804e+11
3 88 1.81269 1.89812 3.21457 333.252 51.2019 329.771 3.48027 1.97687e+14 1.09334e+10 2.28572e+12 -0.546912 0.00703625 0.00386236 5.70761e+09 6.06214e+09 1.53804e+11
3 89 1.89812 1.98757 3.36607 295.725 42.3198 292.092 3.63326 1.68261e+14 9.30595e+09 2.0945e+12 -0.553246 0.00667471 0.00368842 5.75382e+09 6.06214e+09 1.53804e+11
3 90 1.98757 2.08125 3.5247 261.191 34.7636 257.397 3.7939 1.42259e+14 7.8679e+09 1.91139e+12 -0.559299 0.00632904 0.00352319 5.79545e+09 6.06214e+09 1.53804e+11
3 91 2.08125 2.17933 3.69082 229.555 28.3844 225.594 3.96133 1.19427e+14 6.6051e+09 1.73678e+12 -0.565049 0.00600082 0.00336773 5.83271e+09 6.06214e+09 1.53804e+11
3 92 2.17933 2.28204 3.86476 200.712 23.0438 196.578 4.1339 9.95074e+13 5.50342e+09 1.57102e+12 -0.570519 0.00569211 0.00322326 5.86588e+09 6.06214e+09 1.53804e+11
3 93 2.28204 2.38959 4.0469 174.543 18.6155 170.235 4.30855 8.2247e+13 4.54881e+09 1.41437e+12 -0.575872 0.00540601 0.00309142 5.89527e+09 6.06214e+09 1.53804e+11
3 94 2.38959 2.50221 4.23763 150.919 14.9841 146.439 4.48026 6.73975e+13 3.72753e+09 1.26706e+12 -0.581226 0.00514679 0.00297392 5.9212e+09 6.06214e+09 1.53804e+11
3 95 2.50221 2.62013 4.43734 129.701 12.0469 125.06 4.64072 5.47185e+13 3.0263e+09 1.12922e+12 -0.58676 0.00492096 0.00287263 5.94406e+09 6.06214e+09 1.53804e+11
3 96 2.62013 2.74362 4.64646 110.746 9.71016 105.968 4.77804 4.39811e+13 2.43245e+09 1.00093e+12 -0.592795 0.00473694 0.0027879 5.96427e+09 6.06214e+09 1.53804e+11
3 97 2.74362 2.87292 4.86545 93.9048 7.89282 89.0293 4.87547 3.4969e+13 1.93402e+09 8.82181e+11 -0.599538 0.00460672 0.0027173 5.98227e+09 6.06214e+09 1.53804e+11
3 98 2.87292 3.00832 5.09475 79.0437 6.49178 74.1224 4.92126 2.90036e+13 1.60409e+09 7.7291e+11 -0.609442 0.00453596 0.00265498 5.99851e+09 6.06214e+09 1.53804e+11
3 99 3.00832 3.15009 5.33486 66.13 5.27078 61.1523 4.9777 2.53667e+13 1.40295e+09 6.72966e+11 -0.62473 0.00445032 0.00258209 6.01297e+09 6.06214e+09 1.53804e+11
3 100 3.15009 3.29855 5.58628 55.0009 4.19174 49.9333 5.0676 2.1998e+13 1.21664e+09 5.82135e+11 -0.640914 0.00432535 0.00248811 6.02558e+09 6.06214e+09 1.53804e+11
3 101 3.29855 3.45401 5.84955 45.4716 3.24545 40.2674 5.20419 1.88741e+13 1.04387e+09 5.00134e+11 -0.658492 0.00415062 0.00237008 6.03628e+09 6.06214e+09 1.53804e+11
3 102 3.45401 3.61679 6.12523 37.3657 2.42391 31.9587 5.40695 1.59645e+13 8.82946e+08 4.26621e+11 -0.678228 0.00391444 0.00222567 6.04505e+09 6.06214e+09 1.53804e+11
3 103 3.61679 3.78724 6.41391 30.5158 1.72061 24.8104 5.7054 1.3228e+13 7.31596e+08 3.61196e+11 -0.70233 0.00360487 0.00205404 6.05187e+09 6.06214e+09 1.53804e+11
3 104 3.78724 3.96573 6.71619 24.7633 1.13213 18.6213 6.14202 1.0607e+13 5.8664e+08 3.03415e+11 -0.734379 0.00321426 0.00185837 6.05679e+09 6.06214e+09 1.53804e+11
3 105 3.96573 4.15263 7.03271 19.9574 0.660129 13.19 6.76748 8.02625e+12 4.43906e+08 2.52792e+11 -0.782576 0.00274931 0.0016506 6.05994e+09 6.06214e+09 1.53804e+11
3 106 4.15263 4.34834 7.36415 15.9565 0.311091 8.35277 7.60369 5.4146e+12 2.99464e+08 2.08811e+11 -0.871144 0.00224599 0.00145883 6.06156e+09 6.06214e+09 1.53804e+11
3 107 4.34834 4.55327 7.71121 12.629 0.0943648 4.14663 8.48237 2.83362e+12 1.56718e+08 1.70935e+11 -1.09391 0.00179243 0.00135248 6.0621e+09 6.06214e+09 1.53804e+11
