#i RadiusInner RadiusOuter RadiusIso SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic MassProfHalo MassProfStar MassProfCold MassProfHot DensityProfHot TemperatureProfHot CoolingRate CoolingTime SDensitySFR SDensityOFR SDensityCAR StellarAge MassProfDM MassProfDMContracted MassMetalCold MassMetalStar SDensityMetalCold SDensityMetalStar MetallicityCold MetallicityStar MassStar MassHalo
29 0.119763 0.125407 0.0805556 711.853 5801.65 707.22 4.63342 7.30689e+06 2.84928e+08 4.50544e+06 103.983 12577.6 1.85949e+06 7.39838 1.81198 5.7059e+14 6.98561e+15 6.12003e+14 0.400937 0 0 35696.3 188259 8.21103 43.3042 0.0115347 0.00746412 2.7425e+10 9.98021e+11
30 0.125407 0.131318 0.084352 709.455 5746.67 704.821 4.63355 8.00947e+06 3.12321e+08 4.98328e+06 119.373 12575.3 1.85926e+06 8.49386 1.81179 5.67932e+14 6.95306e+15 6.09211e+14 0.377512 0 0 39006.6 204783 8.18301 42.9603 0.0115342 0.0074757 2.7425e+10 9.98021e+11
31 0.131318 0.137507 0.0883274 706.952 5689.9 702.318 4.63369 8.77948e+06 3.4206e+08 5.50935e+06 137.038 12572.9 1.85903e+06 9.75152 1.81158 5.65162e+14 6.91915e+15 6.06301e+14 0.353058 0 0 42617.1 222678 8.15376 42.6041 0.0115337 0.00748767 2.7425e+10 9.98021e+11
32 0.137507 0.143987 0.0924902 704.34 5631.34 699.706 4.63384 9.62339e+06 3.74333e+08 6.08858e+06 157.317 12570.4 1.85879e+06 11.1954 1.81137 5.62276e+14 6.88381e+15 6.03269e+14 0.327638 0 0 46553.8 242048 8.12325 42.2352 0.0115331 0.00750003 2.7425e+10 9.98021e+11
33 0.143987 0.150773 0.0968491 701.616 5570.83 696.982 4.63399 1.05482e+07 4.0934e+08 6.72642e+06 180.596 12567.9 1.85853e+06 12.8529 1.81115 5.59269e+14 6.84701e+15 6.00111e+14 0.301743 0 0 50845.3 262997 8.09142 41.8529 0.0115326 0.00751287 2.7425e+10 9.98021e+11
34 0.150773 0.157879 0.101413 698.774 5508.46 694.14 4.63415 1.15618e+07 4.47293e+08 7.42888e+06 207.317 12565.1 1.85826e+06 14.7559 1.81091 5.56138e+14 6.80868e+15 5.96821e+14 0.274991 0 0 55522 285645 8.05823 41.4574 0.011532 0.00752613 2.7425e+10 9.98021e+11
35 0.157879 0.165319 0.106193 695.81 5444.21 691.176 4.63431 1.26725e+07 4.88424e+08 8.20261e+06 237.991 12562.3 1.85798e+06 16.9405 1.81066 5.52879e+14 6.76877e+15 5.93396e+14 0.247427 0 0 60617.2 310114 8.02361 41.0483 0.0115313 0.00753981 2.7425e+10 9.98021e+11
36 0.165319 0.17311 0.111198 692.72 5377.96 688.086 4.63448 1.38898e+07 5.32973e+08 9.05492e+06 273.2 12559.3 1.85769e+06 19.4484 1.81041 5.49486e+14 6.72724e+15 5.8983e+14 0.218656 0 0 66166.5 336527 7.98753 40.625 0.0115307 0.00755398 2.7425e+10 9.98021e+11
37 0.17311 0.181269 0.116438 689.499 5309.81 684.864 4.63466 1.52236e+07 5.81202e+08 9.99392e+06 313.616 12556.2 1.85738e+06 22.3275 1.81014 5.45956e+14 6.68402e+15 5.86119e+14 0.188992 0 0 72208.4 365022 7.94991 40.1878 0.01153 0.00756859 2.7425e+10 9.98021e+11
38 0.181269 0.189812 0.121926 686.142 5239.7 681.507 4.63485 1.66852e+07 6.33385e+08 1.10285e+07 360.008 12553 1.85706e+06 25.6328 1.80985 5.42284e+14 6.63906e+15 5.82258e+14 0.158297 0 0 78784.6 395741 7.91071 39.7361 0.0115293 0.00758367 2.7425e+10 9.98021e+11
