#z i RadiusInner RadiusOuter RadiusIso SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic SDensitySFR  SDensityOFR SDensityCAR StellarAge MetallicityCold MetallicityStar MassProfStar MassStar MassHalo
3 109 4.76786 4.99256 108.002 7.39339e-08 0 0 7.39339e-08 0 0 5311.56 nan 4.60577e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 110 4.99256 5.22785 113.092 2.40652e-08 0 0 2.40652e-08 0 0 1793.79 nan 4.7116e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 111 5.22785 5.47423 118.422 7.44283e-09 0 0 7.44283e-09 0 0 575.573 nan 4.81769e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 112 5.47423 5.73223 124.003 2.18198e-09 0 0 2.18198e-09 0 0 175.051 nan 4.92391e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 113 5.73223 6.00238 129.847 6.04831e-10 0 0 6.04831e-10 0 0 50.3345 nan 5.03009e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 114 6.00238 6.28526 135.967 1.58105e-10 0 0 1.58105e-10 0 0 13.6476 nan 5.13608e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 115 6.28526 6.58148 142.374 3.88679e-11 0 0 3.88679e-11 0 0 3.47965 nan 5.24173e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 116 6.58148 6.89165 149.084 8.96015e-12 0 0 8.96015e-12 0 0 0.831843 nan 5.34688e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 117 6.89165 7.21645 156.11 1.9311e-12 0 0 1.9311e-12 0 0 0.185891 nan 5.45138e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 118 7.21645 7.55655 163.468 3.87871e-13 0 0 3.87871e-13 0 0 0.0387082 nan 5.55507e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
